year,state,homes_sold,population
2023,Indiana,318,"6,880,131 "
2020,Kansas,4085,"2,938,172 "
2023,Delaware,9,"1,036,423 "
2022,California,2727,"39,142,414 "
2021,Utah,43,"3,339,738 "
2024,Texas,28493,"31,290,831 "
2020,Kansas,2074,"2,938,172 "
2020,Alaska,886,"733,017 "
2021,Connecticut,798,"3,606,607 "
2024,Michigan,5767,"10,140,459 "
2021,Georgia,13493,"10,792,060 "
2023,Utah,255,"3,443,222 "
2021,Alabama,498,"5,049,196 "
2022,Wyoming,10,"581,978 "
2021,Michigan,11410,"10,041,351 "
2021,New York,9798,"19,848,276 "
2021,Illinois,615,"12,700,641 "
2021,Pennsylvania,522,"13,015,571 "
2020,Virginia,7499,"8,637,615 "
2021,Iowa,73,"3,198,613 "
2021,Vermont,82,"647,210 "
2023,Oregon,3178,"4,253,653 "
2024,Vermont,118,"648,493 "
2024,Delaware,522,"1,051,917 "
2021,Nevada,4672,"3,148,141 "
2021,Texas,34872,"29,570,351 "
2022,Georgia,822,"10,931,805 "
2022,North Dakota,30,"781,057 "
2023,Michigan,9226,"10,083,356 "
2024,Idaho,2081,"2,001,619 "
2021,Kansas,4331,"2,938,338 "
2024,Iowa,37,"3,241,488 "
2024,Rhode Island,451,"1,112,308 "
2021,Rhode Island,1458,"1,097,246 "
2024,Michigan,1054,"10,140,459 "
2021,Hawaii,2,"1,447,029 "
2020,Pennsylvania,162,"12,996,143 "
2023,Maine,47,"1,399,646 "
2020,Texas,978,"29,239,570 "
2023,Hawaii,1,"1,441,387 "
2023,Maryland,1959,"6,217,062 "
2020,Iowa,41,"3,191,141 "
2022,Hawaii,903,"1,440,359 "
2020,Indiana,199,"6,790,497 "
2020,Mississippi,9,"2,958,536 "
2022,Rhode Island,130,"1,099,498 "
2023,Massachusetts,3110,"7,066,568 "
2020,Arizona,8670,"7,187,135 "
2022,Illinois,11404,"12,621,821 "
2021,Wisconsin,7032,"5,881,608 "
2020,Wisconsin,62,"5,897,375 "
2023,Mississippi,1894,"2,943,172 "
2021,New Hampshire,1890,"1,387,677 "
2020,Georgia,75,"10,732,888 "
2024,Louisiana,70,"4,597,740 "
2022,Oregon,298,"4,247,372 "
2020,Ohio,13409,"11,798,905 "
2020,Utah,296,"3,284,077 "
2021,North Carolina,14730,"10,564,320 "
2020,Florida,5688,"21,592,035 "
2023,Michigan,8158,"10,083,356 "
2022,Oklahoma,3821,"4,026,229 "
2022,Maryland,8574,"6,192,440 "
2022,Arkansas,3818,"3,047,704 "
2024,Wyoming,2,"587,618 "
2023,Virginia,57,"8,734,685 "
2021,Alabama,356,"5,049,196 "
2020,Connecticut,4822,"3,579,918 "
2023,Massachusetts,1119,"7,066,568 "
2023,Utah,515,"3,443,222 "
2021,Kentucky,73,"4,507,583 "
2020,North Carolina,1300,"10,449,652 "
2022,Hawaii,733,"1,440,359 "
2021,Tennessee,468,"6,965,740 "
2023,Iowa,3512,"3,218,414 "
2021,Alabama,6341,"5,049,196 "
2023,Delaware,8,"1,036,423 "
2023,Montana,44,"1,131,302 "
2023,Columbia,344,"687,324 "
2020,Connecticut,4368,"3,579,918 "
2023,Texas,715,"30,727,890 "
2023,Utah,285,"3,443,222 "
2024,Indiana,6397,"6,924,275 "
2022,Delaware,267,"1,020,625 "
2020,Illinois,579,"12,799,088 "
2020,Illinois,1367,"12,799,088 "
2022,Kansas,111,"2,937,324 "
2020,Alaska,598,"733,017 "
2021,Montana,1281,"1,106,522 "
2020,Louisiana,3307,"4,652,301 "
2022,New York,251,"19,703,747 "
2024,Colorado,520,"5,957,493 "
2022,Maryland,50,"6,192,440 "
2022,Utah,31,"3,391,011 "
2021,Colorado,6201,"5,814,036 "
2021,Indiana,7667,"6,815,907 "
2022,Idaho,2852,"1,944,299 "
2022,West Virginia,746,"1,774,122 "
2020,Tennessee,479,"6,927,904 "
2020,Washington,747,"7,727,209 "
2020,Louisiana,151,"4,652,301 "
2022,Montana,49,"1,122,095 "
2022,Alabama,10,"5,076,181 "
2021,Vermont,55,"647,210 "
2023,Rhode Island,783,"1,103,429 "
2021,Indiana,10407,"6,815,907 "
2021,South Carolina,1016,"5,194,274 "
2024,Maine,1,"1,405,012 "
2024,North Carolina,11210,"11,046,024 "
2024,Maine,169,"1,405,012 "
2020,Kansas,3683,"2,938,172 "
2022,Georgia,434,"10,931,805 "
2024,Arkansas,3282,"3,088,354 "
2022,Iowa,42,"3,202,820 "
2024,Louisiana,4137,"4,597,740 "
2022,Idaho,38,"1,944,299 "
2021,Washington,1094,"7,743,760 "
2021,Colorado,9739,"5,814,036 "
2021,Wyoming,22,"579,636 "
2022,North Dakota,445,"781,057 "
2021,New Mexico,766,"2,117,333 "
2023,Nevada,3049,"3,214,363 "
2021,Maine,82,"1,378,931 "
2020,New York,170,"20,105,171 "
2020,Indiana,10044,"6,790,497 "
2020,Connecticut,2865,"3,579,918 "
2022,Alabama,366,"5,076,181 "
2021,Alaska,1037,"734,420 "
2021,New York,343,"19,848,276 "
2023,Nevada,3670,"3,214,363 "
2023,Louisiana,130,"4,588,071 "
2022,Delaware,561,"1,020,625 "
2020,Arizona,1163,"7,187,135 "
2021,Wyoming,752,"579,636 "
2023,Pennsylvania,9734,"13,017,721 "
2021,New Jersey,1400,"9,270,541 "
2022,New York,8059,"19,703,747 "
2020,Delaware,687,"991,928 "
2020,South Dakota,456,"887,948 "
2020,Hawaii,4,"1,451,252 "
2023,Kansas,2124,"2,951,500 "
2020,Columbia,259,"670,917 "
2023,Illinois,426,"12,642,259 "
2022,Arkansas,88,"3,047,704 "
2022,Georgia,13427,"10,931,805 "
2021,Ohio,46,"11,767,344 "
2023,Illinois,999,"12,642,259 "
2021,Illinois,15249,"12,700,641 "
2020,Alabama,4180,"5,033,094 "
2024,South Carolina,23,"5,478,831 "
2022,Kansas,26,"2,937,324 "
2021,South Carolina,8812,"5,194,274 "
2021,Michigan,1905,"10,041,351 "
2024,Hawaii,437,"1,446,146 "
2020,Iowa,448,"3,191,141 "
2022,Washington,5600,"7,794,123 "
2022,Indiana,9070,"6,844,545 "
2021,Massachusetts,5151,"7,000,474 "
2020,Colorado,1549,"5,787,129 "
2020,Wyoming,20,"577,681 "
2022,New Mexico,7,"2,113,868 "
2020,California,1690,"39,521,958 "
2020,Maine,1258,"1,364,571 "
2023,Wisconsin,354,"5,930,405 "
2023,Alaska,22,"736,510 "
2022,Connecticut,749,"3,617,925 "
2020,Maryland,6527,"6,177,935 "
2024,Maryland,27,"6,263,220 "
2020,Washington,433,"7,727,209 "
2022,Virginia,12181,"8,683,414 "
2021,Minnesota,916,"5,718,660 "
2020,Missouri,7523,"6,154,744 "
2023,New Mexico,986,"2,121,164 "
2024,Rhode Island,656,"1,112,308 "
2024,Ohio,25,"11,883,304 "
2020,New Hampshire,77,"1,378,756 "
2023,Nebraska,1364,"1,987,864 "
2022,Utah,2818,"3,391,011 "
2023,Iowa,34,"3,218,414 "
2020,Nevada,460,"3,116,967 "
2021,Arizona,7973,"7,274,078 "
2023,Nebraska,66,"1,987,864 "
2024,Oklahoma,3941,"4,095,393 "
2024,Montana,925,"1,137,233 "
2022,Columbia,19,"676,725 "
2022,Indiana,86,"6,844,545 "
2020,Ohio,10551,"11,798,905 "
2020,Oregon,4496,"4,243,779 "
2020,Rhode Island,744,"1,096,530 "
2022,New York,2072,"19,703,747 "
2023,West Virginia,8,"1,770,495 "
2021,Washington,749,"7,743,760 "
2021,Connecticut,6223,"3,606,607 "
2022,Nebraska,1429,"1,972,246 "
2020,Nebraska,1903,"1,963,387 "
2024,Illinois,2658,"12,710,158 "
2020,Columbia,25,"670,917 "
2022,Indiana,9565,"6,844,545 "
2021,Minnesota,4678,"5,718,660 "
2020,Illinois,15210,"12,799,088 "
2022,Delaware,23,"1,020,625 "
2024,Minnesota,90,"5,793,151 "
2022,Virginia,8278,"8,683,414 "
2022,North Carolina,461,"10,710,793 "
2020,Mississippi,24,"2,958,536 "
2021,Michigan,1,"10,041,351 "
2022,South Dakota,13,"909,723 "
2022,Michigan,9801,"10,050,877 "
2023,Oregon,3713,"4,253,653 "
2024,Mississippi,4,"2,943,045 "
2022,Kansas,32,"2,937,324 "
2021,Mississippi,2044,"2,947,209 "
2022,Ohio,9181,"11,777,874 "
2020,New Hampshire,144,"1,378,756 "
2020,Maryland,41,"6,177,935 "
2020,New Mexico,874,"2,118,606 "
2021,Nevada,4094,"3,148,141 "
2021,Massachusetts,779,"7,000,474 "
2020,Connecticut,402,"3,579,918 "
2023,Arkansas,28,"3,069,463 "
2024,Washington,276,"7,958,180 "
2021,Hawaii,807,"1,447,029 "
2024,Utah,619,"3,503,613 "
2024,Connecticut,694,"3,675,069 "
2023,South Carolina,7262,"5,387,830 "
2021,Pennsylvania,4197,"13,015,571 "
2023,California,2534,"39,198,693 "
2020,Wisconsin,760,"5,897,375 "
2024,Alaska,21,"740,133 "
2021,Tennessee,485,"6,965,740 "
2020,Montana,1275,"1,087,230 "
2020,Louisiana,2778,"4,652,301 "
2024,Maine,63,"1,405,012 "
2022,South Carolina,547,"5,287,935 "
2024,New Jersey,831,"9,500,851 "
2024,Hawaii,531,"1,446,146 "
2023,West Virginia,5,"1,770,495 "
2023,New Hampshire,1047,"1,402,199 "
2023,Montana,51,"1,131,302 "
2021,Michigan,223,"10,041,351 "
2021,Oregon,6192,"4,254,280 "
2024,Rhode Island,833,"1,112,308 "
2023,Oregon,172,"4,253,653 "
2023,Louisiana,115,"4,588,071 "
2021,New Jersey,688,"9,270,541 "
2023,Florida,2750,"22,904,868 "
2023,Ohio,707,"11,824,034 "
2024,Indiana,269,"6,924,275 "
2023,Wyoming,10,"585,067 "
2020,Alaska,74,"733,017 "
2024,New Jersey,4462,"9,500,851 "
2023,Alabama,91,"5,117,673 "
2023,Alabama,5577,"5,117,673 "
2023,Oklahoma,3308,"4,063,882 "
2023,Nevada,20,"3,214,363 "
2020,South Carolina,4780,"5,132,249 "
2023,Idaho,22,"1,971,122 "
2022,North Carolina,1494,"10,710,793 "
2020,Kentucky,3441,"4,508,318 "
2023,Missouri,462,"6,208,038 "
2021,Nevada,34,"3,148,141 "
2020,Connecticut,2599,"3,579,918 "
2020,Indiana,83,"6,790,497 "
2021,Maine,3,"1,378,931 "
2022,Massachusetts,543,"7,022,468 "
2024,Maryland,1839,"6,263,220 "
2020,Idaho,33,"1,849,415 "
2022,Georgia,9860,"10,931,805 "
2020,Vermont,94,"642,977 "
2021,Pennsylvania,2798,"13,015,571 "
2023,Minnesota,111,"5,753,048 "
2024,North Carolina,894,"11,046,024 "
2020,Texas,193,"29,239,570 "
2023,Mississippi,1349,"2,943,172 "
2022,Kentucky,52,"4,519,233 "
2024,Oklahoma,4570,"4,095,393 "
2023,North Carolina,8454,"10,881,189 "
2021,Texas,40210,"29,570,351 "
2020,Delaware,45,"991,928 "
2024,Virginia,9911,"8,811,195 "
2020,West Virginia,99,"1,791,646 "
2024,Pennsylvania,382,"13,078,751 "
2020,Montana,109,"1,087,230 "
2023,Illinois,1395,"12,642,259 "
2024,Vermont,759,"648,493 "
2020,Wisconsin,450,"5,897,375 "
2023,Utah,2389,"3,443,222 "
2024,Minnesota,4972,"5,793,151 "
2023,Wyoming,321,"585,067 "
2020,Missouri,116,"6,154,744 "
2024,Illinois,10511,"12,710,158 "
2020,Ohio,865,"11,798,905 "
2022,Hawaii,914,"1,440,359 "
2023,Kansas,22,"2,951,500 "
2020,New Jersey,846,"9,272,794 "
2023,Colorado,882,"5,901,339 "
2024,Montana,52,"1,137,233 "
2020,Oklahoma,20,"3,965,415 "
2024,Tennessee,50,"7,227,750 "
2021,Kentucky,227,"4,507,583 "
2022,Oklahoma,81,"4,026,229 "
2022,Arizona,7823,"7,377,566 "
2021,Pennsylvania,589,"13,015,571 "
2020,Illinois,6181,"12,799,088 "
2022,Michigan,177,"10,050,877 "
2021,Pennsylvania,10442,"13,015,571 "
2023,Utah,1847,"3,443,222 "
2022,Massachusetts,638,"7,022,468 "
2020,North Carolina,14168,"10,449,652 "
2020,Tennessee,9192,"6,927,904 "
2024,Colorado,5588,"5,957,493 "
2022,New Mexico,29,"2,113,868 "
2023,Minnesota,429,"5,753,048 "
2020,Delaware,3,"991,928 "
2023,Connecticut,240,"3,643,023 "
2021,Utah,3777,"3,339,738 "
2023,Montana,94,"1,131,302 "
2022,Arizona,9422,"7,377,566 "
2021,Hawaii,607,"1,447,029 "
2023,Tennessee,415,"7,148,304 "
2020,Pennsylvania,9282,"12,996,143 "
2021,South Carolina,8475,"5,194,274 "
2020,Michigan,6721,"10,072,703 "
2023,Texas,22934,"30,727,890 "
2021,Wyoming,764,"579,636 "
2023,New Mexico,4,"2,121,164 "
2021,Iowa,3584,"3,198,613 "
2023,Columbia,639,"687,324 "
2024,Arkansas,46,"3,088,354 "
2022,New Hampshire,66,"1,396,678 "
2023,North Dakota,1,"789,047 "
2021,Texas,241,"29,570,351 "
2023,Wyoming,9,"585,067 "
2020,Oklahoma,38,"3,965,415 "
2021,Kentucky,48,"4,507,583 "
2021,Rhode Island,219,"1,097,246 "
2024,New Jersey,445,"9,500,851 "
2020,Indiana,302,"6,790,497 "
2020,Ohio,700,"11,798,905 "
2021,Colorado,916,"5,814,036 "
2020,Iowa,37,"3,191,141 "
2023,Minnesota,82,"5,753,048 "
2020,Montana,897,"1,087,230 "
2021,Alabama,6432,"5,049,196 "
2021,Alabama,381,"5,049,196 "
2022,Virginia,2013,"8,683,414 "
2024,New Hampshire,56,"1,409,032 "
2021,Utah,3442,"3,339,738 "
2021,Georgia,15092,"10,792,060 "
2023,Connecticut,3256,"3,643,023 "
2024,Louisiana,3002,"4,597,740 "
2023,New Mexico,27,"2,121,164 "
2021,Columbia,75,"669,256 "
2024,Washington,7164,"7,958,180 "
2022,Maine,81,"1,390,922 "
2021,Vermont,72,"647,210 "
2021,Delaware,11,"1,005,062 "
2021,Washington,215,"7,743,760 "
2023,Mississippi,56,"2,943,172 "
2023,Wyoming,394,"585,067 "
2022,Maryland,3253,"6,192,440 "
2021,Nebraska,18,"1,964,537 "
2020,Minnesota,4033,"5,710,735 "
2020,Massachusetts,862,"6,994,598 "
2020,New Jersey,1455,"9,272,794 "
2022,Wyoming,672,"581,978 "
2022,New York,312,"19,703,747 "
2020,New York,734,"20,105,171 "
2021,South Carolina,27,"5,194,274 "
2023,Arkansas,38,"3,069,463 "
2024,Iowa,372,"3,241,488 "
2024,Colorado,58,"5,957,493 "
2021,Michigan,10048,"10,041,351 "
2023,California,994,"39,198,693 "
2023,Illinois,2461,"12,642,259 "
2024,Wisconsin,6390,"5,960,975 "
2021,Michigan,3,"10,041,351 "
2023,Kansas,71,"2,951,500 "
2021,Arizona,13726,"7,274,078 "
2020,Pennsylvania,1692,"12,996,143 "
2020,Montana,1593,"1,087,230 "
2023,Nebraska,40,"1,987,864 "
2022,Montana,88,"1,122,095 "
2021,Alabama,165,"5,049,196 "
2021,Maine,50,"1,378,931 "
2021,Missouri,181,"6,171,374 "
2024,Illinois,1031,"12,710,158 "
2020,Kansas,46,"2,938,172 "
2020,Washington,1021,"7,727,209 "
2021,Pennsylvania,439,"13,015,571 "
2020,New Hampshire,213,"1,378,756 "
2023,Arizona,7885,"7,473,027 "
2024,South Dakota,11,"924,669 "
2020,Massachusetts,6370,"6,994,598 "
2022,Delaware,7,"1,020,625 "
2023,Georgia,11184,"11,064,432 "
2020,North Dakota,5,"779,563 "
2021,Tennessee,10288,"6,965,740 "
2020,Nevada,489,"3,116,967 "
2020,Colorado,7631,"5,787,129 "
2024,Montana,1115,"1,137,233 "
2020,Missouri,6269,"6,154,744 "
2024,Columbia,494,"702,250 "
2020,Oregon,309,"4,243,779 "
2021,Washington,11798,"7,743,760 "
2024,Idaho,2282,"2,001,619 "
2022,Michigan,8895,"10,050,877 "
2021,Arkansas,49,"3,026,870 "
2022,Nevada,3652,"3,176,116 "
2024,Colorado,7546,"5,957,493 "
2021,Florida,3231,"21,831,949 "
2021,North Carolina,49,"10,564,320 "
2023,Wyoming,5,"585,067 "
2021,New Hampshire,225,"1,387,677 "
2020,North Dakota,425,"779,563 "
2022,New Mexico,37,"2,113,868 "
2020,Iowa,1952,"3,191,141 "
2021,Rhode Island,168,"1,097,246 "
2020,Florida,40368,"21,592,035 "
2021,Kansas,3747,"2,938,338 "
2021,South Carolina,6820,"5,194,274 "
2021,Texas,997,"29,570,351 "
2020,New Mexico,1200,"2,118,606 "
2023,California,761,"39,198,693 "
2023,Mississippi,15,"2,943,172 "
2021,Massachusetts,841,"7,000,474 "
2021,Vermont,40,"647,210 "
2023,New Mexico,893,"2,121,164 "
2024,Maine,1447,"1,405,012 "
2024,Michigan,165,"10,140,459 "
2020,Indiana,4851,"6,790,497 "
2021,Georgia,1010,"10,792,060 "
2023,Louisiana,38,"4,588,071 "
2023,Columbia,61,"687,324 "
2022,New Mexico,47,"2,113,868 "
2021,Maryland,3420,"6,179,403 "
2020,Connecticut,3446,"3,579,918 "
2023,Alaska,21,"736,510 "
2023,New York,9355,"19,737,367 "
2020,Maine,2109,"1,364,571 "
2022,Delaware,13,"1,020,625 "
2021,New Hampshire,1062,"1,387,677 "
2020,Montana,87,"1,087,230 "
2024,South Carolina,4229,"5,478,831 "
2023,Massachusetts,570,"7,066,568 "
2020,Texas,30612,"29,239,570 "
2023,Hawaii,559,"1,441,387 "
2022,Nevada,3310,"3,176,116 "
2023,Florida,5833,"22,904,868 "
2023,Kentucky,3248,"4,550,595 "
2021,Iowa,20,"3,198,613 "
2023,Alabama,134,"5,117,673 "
2020,New Hampshire,131,"1,378,756 "
2022,Pennsylvania,7081,"12,984,990 "
2023,Arizona,10489,"7,473,027 "
2021,South Carolina,29,"5,194,274 "
2020,Arkansas,2528,"3,014,546 "
2024,Maryland,35,"6,263,220 "
2021,Tennessee,11321,"6,965,740 "
2020,Louisiana,3093,"4,652,301 "
2023,Maryland,605,"6,217,062 "
2020,Columbia,365,"670,917 "
2021,Massachusetts,857,"7,000,474 "
2023,Georgia,9017,"11,064,432 "
2023,Maine,709,"1,399,646 "
2021,Georgia,1026,"10,792,060 "
2021,Tennessee,501,"6,965,740 "
2022,Maryland,627,"6,192,440 "
2023,Pennsylvania,324,"13,017,721 "
2020,Michigan,158,"10,072,703 "
2023,Nebraska,75,"1,987,864 "
2022,Texas,22731,"30,113,488 "
2024,Rhode Island,772,"1,112,308 "
2024,Illinois,423,"12,710,158 "
2024,Virginia,986,"8,811,195 "
2021,North Dakota,6,"777,966 "
2023,New York,6671,"19,737,367 "
2022,Iowa,4976,"3,202,820 "
2021,Maryland,4877,"6,179,403 "
2021,Wisconsin,401,"5,881,608 "
2023,Nevada,312,"3,214,363 "
2021,Utah,3188,"3,339,738 "
2022,Washington,10229,"7,794,123 "
2020,South Carolina,3862,"5,132,249 "
2021,Washington,6087,"7,743,760 "
2022,Montana,29,"1,122,095 "
2023,West Virginia,728,"1,770,495 "
2024,South Carolina,448,"5,478,831 "
2023,Texas,681,"30,727,890 "
2022,New Hampshire,1273,"1,396,678 "
2021,Oregon,319,"4,254,280 "
2023,Idaho,49,"1,971,122 "
2022,Alabama,4858,"5,076,181 "
2023,South Carolina,381,"5,387,830 "
2021,West Virginia,8,"1,785,618 "
2020,Mississippi,1600,"2,958,536 "
2020,Kentucky,3112,"4,508,318 "
2022,Kentucky,70,"4,519,233 "
2020,New Mexico,790,"2,118,606 "
2021,Connecticut,5010,"3,606,607 "
2021,Pennsylvania,529,"13,015,571 "
2024,Oklahoma,3414,"4,095,393 "
2022,Mississippi,12,"2,941,939 "
2022,Kansas,84,"2,937,324 "
2021,Kansas,58,"2,938,338 "
2020,Colorado,6477,"5,787,129 "
2021,Ohio,8448,"11,767,344 "
2024,Alabama,225,"5,157,699 "
2023,Columbia,212,"687,324 "
2020,Arizona,11957,"7,187,135 "
2022,Texas,33299,"30,113,488 "
2021,South Dakota,76,"896,492 "
2022,North Dakota,391,"781,057 "
2023,California,16945,"39,198,693 "
2021,Illinois,1708,"12,700,641 "
2024,Hawaii,2,"1,446,146 "
2022,West Virginia,986,"1,774,122 "
2022,Delaware,32,"1,020,625 "
2024,Delaware,4,"1,051,917 "
2022,North Carolina,51,"10,710,793 "
2023,North Carolina,965,"10,881,189 "
2020,Kentucky,5466,"4,508,318 "
2022,West Virginia,742,"1,774,122 "
2024,Texas,26588,"31,290,831 "
2024,Iowa,170,"3,241,488 "
2021,California,33612,"39,142,565 "
2024,Rhode Island,168,"1,112,308 "
2020,Vermont,44,"642,977 "
2023,Minnesota,253,"5,753,048 "
2024,New Jersey,780,"9,500,851 "
2023,Arkansas,2449,"3,069,463 "
2021,New Mexico,80,"2,117,333 "
2020,Oregon,52,"4,243,779 "
2020,New Mexico,6,"2,118,606 "
2020,Kansas,106,"2,938,172 "
2024,Massachusetts,549,"7,136,171 "
2022,Kentucky,235,"4,519,233 "
2020,Montana,95,"1,087,230 "
2024,Alabama,175,"5,157,699 "
2023,Michigan,1456,"10,083,356 "
2021,New York,13271,"19,848,276 "
2020,Kentucky,3807,"4,508,318 "
2024,Mississippi,33,"2,943,045 "
2022,Hawaii,926,"1,440,359 "
2024,Columbia,68,"702,250 "
2020,Maine,2,"1,364,571 "
2022,Kentucky,4144,"4,519,233 "
2024,Iowa,34,"3,241,488 "
2021,Nevada,712,"3,148,141 "
2022,Nebraska,14,"1,972,246 "
2024,Kentucky,3859,"4,588,372 "
2021,Tennessee,62,"6,965,740 "
2024,Maine,799,"1,405,012 "
2022,Wisconsin,8100,"5,903,975 "
2024,Louisiana,108,"4,597,740 "
2023,Idaho,11,"1,971,122 "
2024,Pennsylvania,339,"13,078,751 "
2022,Tennessee,10219,"7,062,217 "
2022,Oklahoma,78,"4,026,229 "
2024,Utah,270,"3,503,613 "
2021,Tennessee,325,"6,965,740 "
2024,Pennsylvania,2698,"13,078,751 "
2021,Wisconsin,650,"5,881,608 "
2024,Indiana,4444,"6,924,275 "
2023,Indiana,122,"6,880,131 "
2023,Virginia,5442,"8,734,685 "
2021,Michigan,14658,"10,041,351 "
2021,Minnesota,7502,"5,718,660 "
2022,Oregon,384,"4,247,372 "
2020,Georgia,17983,"10,732,888 "
2023,North Carolina,1065,"10,881,189 "
2023,Maryland,2749,"6,217,062 "
2022,Montana,77,"1,122,095 "
2024,Arkansas,3541,"3,088,354 "
2021,Hawaii,834,"1,447,029 "
2020,Kentucky,89,"4,508,318 "
2023,New York,201,"19,737,367 "
2022,Maine,1437,"1,390,922 "
2022,Missouri,549,"6,179,414 "
2023,Maryland,2044,"6,217,062 "
2023,Maine,56,"1,399,646 "
2020,Vermont,108,"642,977 "
2024,Illinois,13754,"12,710,158 "
2022,Virginia,1149,"8,683,414 "
2024,Utah,2103,"3,503,613 "
2024,Nebraska,27,"2,005,465 "
2024,Mississippi,1950,"2,943,045 "
2020,Idaho,53,"1,849,415 "
2022,Alabama,5417,"5,076,181 "
2022,Maryland,8006,"6,192,440 "
2024,Iowa,3182,"3,241,488 "
2021,North Dakota,14,"777,966 "
2024,Michigan,4,"10,140,459 "
2021,Kansas,79,"2,938,338 "
2023,South Carolina,4879,"5,387,830 "
2024,South Carolina,5915,"5,478,831 "
2020,Georgia,932,"10,732,888 "
2023,New Jersey,7707,"9,379,642 "
2021,Nevada,544,"3,148,141 "
2023,Columbia,78,"687,324 "
2021,Georgia,15111,"10,792,060 "
2020,Maryland,432,"6,177,935 "
2021,Virginia,1344,"8,658,910 "
2023,Wyoming,506,"585,067 "
2024,Missouri,86,"6,245,466 "
2023,Oregon,3976,"4,253,653 "
2023,Rhode Island,165,"1,103,429 "
2023,Missouri,238,"6,208,038 "
2023,California,14459,"39,198,693 "
2021,Wyoming,6,"579,636 "
2021,Indiana,144,"6,815,907 "
2024,Michigan,1295,"10,140,459 "
2021,Utah,472,"3,339,738 "
2020,Arizona,10979,"7,187,135 "
2022,Maine,1607,"1,390,922 "
2020,Columbia,25,"670,917 "
2020,Arizona,1069,"7,187,135 "
2022,South Carolina,402,"5,287,935 "
2021,Mississippi,38,"2,947,209 "
2021,Georgia,1473,"10,792,060 "
2022,Missouri,65,"6,179,414 "
2023,New Hampshire,159,"1,402,199 "
2024,Illinois,9299,"12,710,158 "
2021,New Jersey,1447,"9,270,541 "
2023,New Jersey,7296,"9,379,642 "
2022,Wisconsin,4968,"5,903,975 "
2022,Connecticut,3770,"3,617,925 "
2020,Michigan,237,"10,072,703 "
2021,Florida,559,"21,831,949 "
2024,Missouri,125,"6,245,466 "
2024,Wisconsin,301,"5,960,975 "
2024,Ohio,37,"11,883,304 "
2020,Pennsylvania,4165,"12,996,143 "
2021,Montana,178,"1,106,522 "
2021,Washington,8591,"7,743,760 "
2020,Nebraska,1269,"1,963,387 "
2023,New Mexico,15,"2,121,164 "
2021,Alabama,152,"5,049,196 "
2021,Wisconsin,8440,"5,881,608 "
2020,North Dakota,21,"779,563 "
2024,Columbia,115,"702,250 "
2021,South Dakota,63,"896,492 "
2021,Hawaii,1663,"1,447,029 "
2023,Georgia,583,"11,064,432 "
2024,Ohio,374,"11,883,304 "
2024,Columbia,7,"702,250 "
2023,Michigan,1089,"10,083,356 "
2020,Oklahoma,44,"3,965,415 "
2021,Indiana,8281,"6,815,907 "
2020,Georgia,16830,"10,732,888 "
2022,California,610,"39,142,414 "
2023,Tennessee,259,"7,148,304 "
2024,Rhode Island,614,"1,112,308 "
2020,Texas,560,"29,239,570 "
2022,Pennsylvania,498,"12,984,990 "
2020,Kansas,34,"2,938,172 "
2021,Ohio,50,"11,767,344 "
2023,Indiana,8298,"6,880,131 "
2021,Maine,85,"1,378,931 "
2021,Wisconsin,798,"5,881,608 "
2021,Louisiana,24,"4,627,971 "
2024,Tennessee,7060,"7,227,750 "
2021,Wyoming,32,"579,636 "
2022,Vermont,34,"648,142 "
2022,Maryland,2823,"6,192,440 "
2021,South Carolina,4929,"5,194,274 "
2023,Missouri,5778,"6,208,038 "
2021,Minnesota,4455,"5,718,660 "
2022,Rhode Island,1,"1,099,498 "
2020,Nebraska,80,"1,963,387 "
2021,Maine,2463,"1,378,931 "
2024,New York,879,"19,867,248 "
2023,Louisiana,2832,"4,588,071 "
2023,Rhode Island,82,"1,103,429 "
2020,Oklahoma,8,"3,965,415 "
2020,Colorado,1350,"5,787,129 "
2021,Utah,3285,"3,339,738 "
2024,Maine,152,"1,405,012 "
2024,Alabama,4704,"5,157,699 "
2024,Oklahoma,59,"4,095,393 "
2023,Indiana,85,"6,880,131 "
2023,West Virginia,18,"1,770,495 "
2024,Rhode Island,691,"1,112,308 "
2021,Utah,56,"3,339,738 "
2022,Columbia,9,"676,725 "
2021,Mississippi,20,"2,947,209 "
2024,Missouri,4384,"6,245,466 "
2021,Indiana,69,"6,815,907 "
2022,Vermont,637,"648,142 "
2021,Indiana,9533,"6,815,907 "
2022,North Dakota,273,"781,057 "
2021,South Dakota,3,"896,492 "
2022,Utah,33,"3,391,011 "
2023,Minnesota,281,"5,753,048 "
2020,Oklahoma,31,"3,965,415 "
2023,Arkansas,2496,"3,069,463 "
2024,California,1135,"39,431,263 "
2021,Delaware,1113,"1,005,062 "
2024,Delaware,8,"1,051,917 "
2020,Arizona,90,"7,187,135 "
2021,Oregon,139,"4,254,280 "
2024,Michigan,1322,"10,140,459 "
2021,Vermont,37,"647,210 "
2024,Massachusetts,4193,"7,136,171 "
2022,California,1768,"39,142,414 "
2021,New Jersey,641,"9,270,541 "
2020,Alaska,488,"733,017 "
2020,Ohio,30,"11,798,905 "
2024,Wyoming,8,"587,618 "
2020,Hawaii,15,"1,451,252 "
2022,Vermont,68,"648,142 "
2023,West Virginia,111,"1,770,495 "
2022,Massachusetts,1680,"7,022,468 "
2020,Ohio,50,"11,798,905 "
2022,Montana,49,"1,122,095 "
